Gene	Direction_in_ABCs
Atp6v0c	down
Abcb10	down
Psmb2	down
Eif2s3x	down
Nfil3	down
l7Rn6	down
Ppp2r2d	down
Slc2a8	down
Serpinb1a	down
Lgals9	down
Atp1a1	down
Lig3	down
Golga5	down
Slc7a6	down
Utp18	down
Gga2	down
Tap1	down
Tamm41	down
Csf2rb2	down
Pfkl	down
Abcd1	down
Khdrbs1	down
Pip4k2b	down
B4galt5	down
Psma3	down
Vipas39	down
Csf2rb	down
Atp1b3	down
Pi4kb	down
Abce1	down
Uhrf1	down
Dcun1d3	down
Abcf1	down
Pold1	down
Kcnk6	down
Atp6v1b2	down
Trpc4ap	down
Tap2	down
Utp6	down
Sdha	down
Spty2d1	down
Taf1d	down
Nfe2l2	down
P2rx7	down
Lgals3	down
Suclg1	down
Atp6v0d1	down
Pold3	down
Ppp2r3c	down
Slc25a16	down
Mitd1	down
Slc25a24	down
Trpv2	down
Serpinb6b	down
Pafah1b2	down
Ppp2r3d	down
Atp2a3	down
Serpinb9	down
Golga3	down
Abcg3	down
Abcd3	down
Ppm1a	down
Ppp2r5d	down
Ctdspl2	down
Pik3c2b	down
Alg6	down
Slc7a1	down
Abcf2	down
Ahdc1	down
Abcd2	down
Slc25a17	down
Pou2af1	down
Ptprcap	down
Kcnb1	down
Nr2c1	down
Itpkb	down
Abcc3	down
Prkar2a	down
Utp14a	down
Atp6v0a1	down
Kcnj16	down
Abcc10	down
Ppp2ca	down
Nrd1	down
Kcnab2	down
Ppm1g	down
Mkrn1	down
Appl2	down
Agl	down
Stt3b	down
Ppp2cb	down
Pprc1	down
Abca9	down
Kcnn4	down
Me2	down
Psma6	down
Abcf3	down
Manba	down
Lman1	down
Tnfrsf11a	down
Golga2	down
Golga4	down
Fnta	down
Telo2	down
Trpm7	down
Nfatc3	down
Abcb8	down
Trpm4	down
Golga7	down
Pafah1b1	down
Smarcal1	down
Nt5m	down
Cstf3	down
Phldb3	down
Slc7a7	down
Nfatc2	down
Atp6v0a2	down
Cad	down
Lig4	down
Ppp1ca	down
Abca2	down
Itpkc	down
Atp6v1c1	down
Ppm1b	down
Ptpra	down
Slc25a14	down
Trpm2	down
Ammecr1	down
Ptprc	down
Slc6a6	down
Nuak1	down
Kcnj1	down
Bloc1s5	down
P4ha1	down
Mthfd1	down
Psmc2	down
Psma2	down
Slc4a1ap	down
Pik3r1	down
Atp6v0e	down
Ppp2r2a	down
Pla2g4a	down
Ppp2r5c	down
Prex1	down
Nr2c2	down
Utp20	down
Pik3c2a	down
Atp7a	down
Prkar1b	down
Pik3r5	down
Ppp2r1b	down
Sucla2	down
Cacna2d4	down
Kcnk13	down
Ppp2r1a	down
Col4a3bp	down
Pla2g7	down
Ppp3cc	down
Pop1	down
Pold2	down
Stt3a	down
Myh9	down
Pik3cb	down
Dcun1d4	down
Slc7a8	down
Pik3cg	down
Ptpre	down
Slc25a26	down
Ms4a6c	down
Atp2b1	down
Ptprs	down
Serpini1	down
Slc25a25	down
B4galt1	down
Tnk2	down
Ash2l	down
Atp6v1a	down
Golga1	down
Dcun1d1	down
Abcb7	down
Ms4a6b	down
Ppp2r5b	down
Nfatc1	down
Itpk1	down
Ms4a7	down
Lilra5	down
Slc25a12	down
Pcyt1a	down
Cacna1i	down
Fuca2	down
Ash1l	down
Psmb7	down
Psmb1	down
Slc7a2	down
Ms4a1	down
Golgb1	down
