"","Cluster","group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"89","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0071714","icosanoid transmembrane transporter activity","3/296","12/28409",0.25,23.9940878378378,8.17491352254424,0.000229756030078642,0.00725576585335547,0.00574601471088035,"76408/101488/239273",3
"90","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0022804","active transmembrane transporter activity","14/296","441/28409",0.0317460317460317,3.0468682968683,4.44519766523775,0.000243210028604094,0.00725576585335547,0.00574601471088035,"20498/76408/27410/21355/212980/12557/101488/209837/239273/73822/26373/102680/21354/432628",14
"91","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0051087","protein-folding chaperone binding","8/296","166/28409",0.0481927710843374,4.62536633018561,4.80687818984587,0.000367995390916729,0.0100502355464379,0.00795902217144156,"20617/67397/14824/20737/21819/15039/110557/14964",8
"92","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0004559","alpha-mannosidase activity","3/296","14/28409",0.214285714285714,20.566361003861,7.51390556098266,0.000374310448656905,0.0100502355464379,0.00795902217144156,"17159/227619/140481",3
"93","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0043027","cysteine-type endopeptidase inhibitor activity involved in apoptotic process","4/296","34/28409",0.117647058823529,11.2913354531002,6.16106579692801,0.000418604730839467,0.0107043209743235,0.00847700808316515,"20111/50930/20706/20617",4
"94","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0015923","mannosidase activity","3/296","15/28409",0.2,19.1952702702703,7.23274977290106,0.000464288228205801,0.0112751541035128,0.00892906450616323,"17159/227619/140481",3
"95","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0043177","organic acid binding","9/296","217/28409",0.0414746543778802,3.98058600074729,4.52252701489013,0.0004829209392566,0.0112751541035128,0.00892906450616323,"18822/14586/16004/20617/18484/83382/11603/15129/15122",9
"96","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0038187","pattern recognition receptor activity","5/296","63/28409",0.0793650793650794,7.61717074217074,5.39522191957508,0.000509192311791835,0.0113931779763423,0.00902253043701322,"56620/14133/26888/140792/637515",5
"97","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0008559","ABC-type xenobiotic transporter activity","3/296","16/28409",0.1875,17.9955658783784,6.97754375026127,0.000567037410716065,0.0121799635821811,0.00964560479702274,"76408/27410/239273",3
"98","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0038024","cargo receptor activity","5/296","67/28409",0.0746268656716418,7.16241427995159,5.18185951407943,0.000676361281788214,0.013969461858472,0.0110627513296534,"93671/17533/16409/19039/140792",5
"99","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0005201","extracellular matrix structural constituent","7/296","142/28409",0.0492957746478873,4.73122858774267,4.57371140591431,0.000745549327148381,0.01482814772884,0.0117427652307191,"17181/76737/14268/94242/21810/233744/11603",7
"100","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0003756","protein disulfide isomerase activity","3/296","18/28409",0.166666666666667,15.9960585585586,6.53033745815826,0.000813605320168889,0.0150657261010584,0.0119309092322407,"76737/12304/105245",3
"101","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","3/296","18/28409",0.166666666666667,15.9960585585586,6.53033745815826,0.000813605320168889,0.0150657261010584,0.0119309092322407,"76737/12304/105245",3
"102","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0042610","CD8 receptor binding","3/296","19/28409",0.157894736842105,15.1541607396871,6.33272773097449,0.000958737975417321,0.0171614097599701,0.0135905313006526,"15039/110557/14964",3
"103","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0015175","neutral L-amino acid transmembrane transporter activity","4/296","43/28409",0.0930232558139535,8.92803268384664,5.33842565904414,0.00103501027129973,0.0179290488931599,0.0141984431105294,"72401/209837/73822/102680",4
